timesteps,ent_coef,policy_loss,value_loss,entropy_loss,approx_kl,early_stopped,grad_norm,reward_mean,reward_std,avg_steps_survived,max_hover_streak,avg_final_dist,min_final_dist,std_final_dist,effective_std_mean,total_param_norm,outcome_oob,outcome_attitude-ROLL,outcome_attitude-PITCH,outcome_hit,outcome_hover_success,outcome_moving_away_cap,outcome_drift,outcome_timeout
495000,0.004520000000000001,0.1963789282453945,188.7681486904621,5.8098021652549505,1.1950882493256358,True,344.9975909590721,2604.811659185703,332.25186880126836,4593.7,0,0.6474364338380106,0.3001101342656501,0.7052317831310682,0.057029616087675095,176.18574464321136,0,0,0,16,0,4,0,0
510000,0.004505,0.3200726531795226,324.76136487722397,5.809711659327149,15.486895448397263,True,382.6231227517128,2768.639569026097,374.1070561210179,4319.45,0,1.885781585698276,0.3000188051917375,2.5419407613645,0.05702971667051315,176.2289987653494,0,3,0,11,0,6,0,0
525000,0.00449,0.2164897731563542,288.17247354984283,5.809903785586357,3.077137889471487,True,402.29695576429367,2927.1300681724197,364.4899393386277,3352.0,0,4.9634193506384765,0.30020592132610324,4.9620846518116055,0.05702982842922211,176.27177725732327,0,2,5,4,0,9,0,0
540000,0.004475,0.3315322395283147,170.8641393184662,5.80989308655262,3.1441313696705038,True,516.1902150511742,2697.5892187186846,406.96459867937233,2619.4,0,29.492212851566997,1.845392010164666,21.967291067614,0.057030051946640015,176.31147387251258,0,9,8,0,0,3,0,0
555000,0.00446,0.15394177417329047,168.31413558125496,5.809775896370411,2.9018777818710078,True,330.1164497435093,2292.899512952058,479.9383404602978,4472.85,0,54.60633002225819,0.45430082578177,49.66262720292573,0.05703007057309151,176.35012437030673,0,11,0,0,0,5,0,4
570000,0.004445,0.21615650076273596,117.63103944063187,5.809826830402017,0.8700659870664822,True,325.1829398870468,1814.8341436526127,1005.840286775293,2014.2,0,65.86349759608449,1.765645050491297,46.66105593192799,0.05703018605709076,176.38771427422762,0,13,0,0,0,7,0,0
585000,0.00443,0.12599725257314276,71.64634935557842,5.809728430584073,0.682570277058403,True,254.57982525229454,1117.6834409136914,785.6864237031655,1767.25,0,75.85783880846253,1.797099067358597,44.703442999099764,0.05703026056289673,176.42441506683826,0,15,0,0,0,5,0,0
600000,0.0044150000000000005,0.2288816916407086,230.59914003312588,5.809703288599849,2.7860884440742666,True,210.83369633555412,1291.5448980546773,1388.1253162634523,1120.2,0,117.4359489555133,85.54066813506154,17.046669324177383,0.05703034996986389,176.47034531086683,0,16,4,0,0,0,0,0
615000,0.0044,0.11530894649331458,78.90295737981796,5.8098643608391285,0.4293432679405669,True,253.73387011885643,783.1291663409022,438.42839302952603,1899.85,0,78.06742876669674,5.886030945341318,45.020833206556354,0.05703046917915344,176.49650745093822,0,15,0,0,0,5,0,0
630000,0.004385,0.15669422567953006,79.33505916036665,5.809709353372455,1.5185283125028946,True,217.06611520051956,562.3432617309257,693.142984126998,1126.35,0,117.08468666213864,82.76155918924869,15.655449857460749,0.05703049153089523,176.51563698798418,0,15,5,0,0,0,0,0
